nir,impedance,ph,vinegar
0.0,0.0,0.0,0.0
5.594555555555555,1.0961111111111113,1.6185555555555555,10.39311111111111
10.46711111111111,2.1862222222222223,3.3151111111111113,20.211222222222222
17.082666666666665,3.4983333333333335,5.113666666666667,31.89733333333333
23.61122222222222,4.388444444444445,6.048222222222222,43.67444444444444
27.86577777777778,5.452555555555556,7.505777777777777,51.739555555555555
34.06233333333333,6.227666666666667,8.754333333333333,68.09866666666666
39.190888888888885,7.557777777777779,10.65688888888889,81.08477777777777
41.55444444444444,8.29788888888889,11.338444444444445,80.36588888888889
47.397,9.714,14.103,92.641
